order_id,return_date,return_reason,refund_amount
CA-2024-71263,26-06-2024,Quality Issue,125.57
CA-2024-21300,03-06-2024,Wrong Item,799.69
CA-2024-72739,17-06-2024,Wrong Item,342.31
CA-2024-85353,03-06-2024,Damaged,270.7
CA-2024-19720,15-06-2024,Wrong Item,425.95
CA-2024-26821,27-06-2024,Customer Changed Mind,520.84
CA-2024-33850,25-06-2024,Quality Issue,360.28
CA-2024-17263,27-06-2024,Damaged,143.59
CA-2024-31581,06-06-2024,Wrong Item,574.73
CA-2024-55353,17-06-2024,Customer Changed Mind,680.6
CA-2024-42847,07-06-2024,Late Delivery,451.9
CA-2024-26406,21-06-2024,Wrong Item,438.45
CA-2024-75873,21-06-2024,Damaged,754.75
CA-2024-30210,06-06-2024,Customer Changed Mind,583.49
CA-2024-89316,11-06-2024,Customer Changed Mind,461.8
CA-2024-13718,03-06-2024,Damaged,522.13
CA-2024-85598,09-06-2024,Customer Changed Mind,619.39
CA-2024-64602,20-06-2024,Late Delivery,410.98
CA-2024-92203,18-06-2024,Damaged,766.4
CA-2024-73300,08-06-2024,Customer Changed Mind,555.87
CA-2024-48985,15-06-2024,Damaged,71.43
CA-2024-67619,14-06-2024,Wrong Item,183.12
CA-2024-89516,05-06-2024,Wrong Item,581.73
CA-2024-55268,13-06-2024,Damaged,312.17
CA-2024-83616,04-06-2024,Wrong Item,386.52
CA-2024-45058,15-06-2024,Damaged,100.03
CA-2024-48038,13-06-2024,Customer Changed Mind,349.05
CA-2024-30932,27-06-2024,Wrong Item,472.71
CA-2024-50988,07-06-2024,Customer Changed Mind,411.16
CA-2024-77466,15-06-2024,Wrong Item,264.12
CA-2024-13037,03-06-2024,Quality Issue,416.72
CA-2024-41552,07-06-2024,Late Delivery,62.71
CA-2024-46877,16-06-2024,Late Delivery,678.21
CA-2024-98148,16-06-2024,Damaged,31.34
CA-2024-24089,14-06-2024,Damaged,229.97
CA-2024-57943,25-06-2024,Wrong Item,60.06
CA-2024-16705,19-06-2024,Late Delivery,305.96
CA-2024-47827,03-06-2024,Wrong Item,374.02
CA-2024-82070,09-06-2024,Customer Changed Mind,508.01
CA-2024-90090,04-06-2024,Damaged,99.93
CA-2024-58915,26-06-2024,Quality Issue,457.32
CA-2024-57920,25-06-2024,Damaged,491.91
CA-2024-62610,17-06-2024,Damaged,55.16
CA-2024-53652,26-06-2024,Wrong Item,379.17
CA-2024-89463,17-06-2024,Damaged,746.81
CA-2024-51750,06-06-2024,Wrong Item,502.79
CA-2024-49221,19-06-2024,Wrong Item,666.92
