order_id,return_date,return_reason,refund_amount
CA-2024-56179,08-02-2024,Late Delivery,506.19
CA-2024-98835,25-02-2024,Customer Changed Mind,535.87
CA-2024-27927,21-02-2024,Damaged,511.28
CA-2024-15167,10-02-2024,Customer Changed Mind,50.86
CA-2024-57823,24-02-2024,Damaged,729.96
CA-2024-52823,24-02-2024,Wrong Item,180.62
CA-2024-80701,12-02-2024,Late Delivery,732.95
CA-2024-31567,09-02-2024,Quality Issue,756.75
CA-2024-48684,24-02-2024,Customer Changed Mind,648.28
CA-2024-71385,03-02-2024,Damaged,774.04
CA-2024-98647,24-02-2024,Customer Changed Mind,332.99
CA-2024-83048,12-02-2024,Damaged,330.8
CA-2024-44663,18-02-2024,Damaged,310.65
CA-2024-98125,09-02-2024,Late Delivery,662.37
CA-2024-58689,04-02-2024,Customer Changed Mind,390.39
CA-2024-91205,18-02-2024,Wrong Item,497.81
CA-2024-94889,03-02-2024,Late Delivery,384.81
CA-2024-49608,21-02-2024,Wrong Item,133.33
CA-2024-14877,10-02-2024,Quality Issue,114.99
CA-2024-40775,18-02-2024,Damaged,376.57
CA-2024-97881,24-02-2024,Customer Changed Mind,443.65
CA-2024-86983,24-02-2024,Customer Changed Mind,711.2
CA-2024-95841,04-02-2024,Customer Changed Mind,502.13
CA-2024-46666,02-02-2024,Customer Changed Mind,193.38
CA-2024-68287,08-02-2024,Customer Changed Mind,102.0
CA-2024-99873,12-02-2024,Late Delivery,782.83
CA-2024-57012,02-02-2024,Wrong Item,172.1
CA-2024-26011,28-02-2024,Customer Changed Mind,96.05
CA-2024-37801,21-02-2024,Late Delivery,777.6
CA-2024-16629,26-02-2024,Wrong Item,791.34
CA-2024-84000,07-02-2024,Damaged,618.0
CA-2024-37152,19-02-2024,Damaged,699.01
CA-2024-53064,25-02-2024,Damaged,722.91
CA-2024-10371,09-02-2024,Customer Changed Mind,137.13
CA-2024-27038,18-02-2024,Damaged,160.24
CA-2024-96646,28-02-2024,Damaged,36.52
CA-2024-41186,19-02-2024,Wrong Item,160.04
CA-2024-16868,05-02-2024,Customer Changed Mind,432.72
CA-2024-18330,16-02-2024,Wrong Item,305.58
CA-2024-87812,04-02-2024,Wrong Item,196.7
CA-2024-90623,02-02-2024,Customer Changed Mind,729.28
CA-2024-96363,17-02-2024,Wrong Item,523.59
