order_id,return_date,return_reason,refund_amount
CA-2024-60277,07-01-2024,Quality Issue,418.89
CA-2024-27892,28-01-2024,Damaged,623.82
CA-2024-64387,11-01-2024,Quality Issue,418.5
CA-2024-10336,10-01-2024,Customer Changed Mind,674.04
CA-2024-86011,22-01-2024,Wrong Item,140.16
CA-2024-80592,16-01-2024,Wrong Item,452.74
CA-2024-81228,13-01-2024,Wrong Item,274.38
CA-2024-34727,23-01-2024,Damaged,321.8
CA-2024-63841,02-01-2024,Wrong Item,391.56
CA-2024-59968,13-01-2024,Quality Issue,639.11
CA-2024-95461,05-01-2024,Wrong Item,53.69
CA-2024-75836,19-01-2024,Wrong Item,102.78
CA-2024-67711,04-01-2024,Late Delivery,379.12
CA-2024-28894,14-01-2024,Customer Changed Mind,776.72
CA-2024-19807,16-01-2024,Customer Changed Mind,230.39
CA-2024-91691,23-01-2024,Wrong Item,87.24
CA-2024-53065,28-01-2024,Customer Changed Mind,438.56
CA-2024-51505,21-01-2024,Customer Changed Mind,613.54
CA-2024-80912,02-01-2024,Late Delivery,206.95
CA-2024-99705,10-01-2024,Quality Issue,603.74
CA-2024-66881,04-01-2024,Customer Changed Mind,570.52
CA-2024-23173,15-01-2024,Damaged,257.09
CA-2024-13794,02-01-2024,Wrong Item,68.49
CA-2024-56984,12-01-2024,Wrong Item,214.25
CA-2024-64008,19-01-2024,Customer Changed Mind,164.54
CA-2024-32946,03-01-2024,Late Delivery,321.47
CA-2024-99539,08-01-2024,Wrong Item,476.95
CA-2024-40433,15-01-2024,Late Delivery,381.17
CA-2024-97404,01-01-2024,Customer Changed Mind,385.57
CA-2024-47700,22-01-2024,Late Delivery,82.24
CA-2024-55293,19-01-2024,Damaged,770.57
CA-2024-42780,15-01-2024,Customer Changed Mind,179.39
CA-2024-60422,28-01-2024,Wrong Item,208.83
CA-2024-84963,12-01-2024,Late Delivery,794.34
CA-2024-48696,01-01-2024,Quality Issue,535.13
CA-2024-45976,01-01-2024,Late Delivery,556.49
CA-2024-16428,20-01-2024,Customer Changed Mind,670.45
CA-2024-47512,25-01-2024,Customer Changed Mind,495.48
