order_id,return_date,return_reason,refund_amount
CA-2024-14082,02-03-2024,Quality Issue,681.66
CA-2024-65872,22-03-2024,Damaged,577.11
CA-2024-68138,03-03-2024,Customer Changed Mind,274.64
CA-2024-29442,03-03-2024,Damaged,508.85
CA-2024-86724,18-03-2024,Customer Changed Mind,320.2
CA-2024-88301,17-03-2024,Damaged,416.8
CA-2024-66387,04-03-2024,Customer Changed Mind,113.67
CA-2024-95814,21-03-2024,Customer Changed Mind,452.28
CA-2024-38183,14-03-2024,Wrong Item,202.08
CA-2024-54424,27-03-2024,Wrong Item,347.39
CA-2024-22463,11-03-2024,Wrong Item,540.46
CA-2024-59060,05-03-2024,Customer Changed Mind,392.56
CA-2024-21957,27-03-2024,Damaged,359.7
CA-2024-58843,26-03-2024,Damaged,71.49
CA-2024-83608,18-03-2024,Wrong Item,119.73
CA-2024-56346,28-03-2024,Customer Changed Mind,606.47
CA-2024-16743,10-03-2024,Late Delivery,297.53
CA-2024-85748,17-03-2024,Damaged,533.97
CA-2024-39392,28-03-2024,Damaged,680.16
CA-2024-58176,04-03-2024,Customer Changed Mind,469.93
CA-2024-66244,28-03-2024,Late Delivery,619.76
CA-2024-91490,20-03-2024,Customer Changed Mind,456.47
CA-2024-89822,22-03-2024,Customer Changed Mind,232.27
CA-2024-33647,09-03-2024,Customer Changed Mind,264.46
CA-2024-54541,12-03-2024,Damaged,699.14
CA-2024-84228,22-03-2024,Wrong Item,134.95
CA-2024-92991,01-03-2024,Damaged,436.12
CA-2024-59308,14-03-2024,Wrong Item,146.99
CA-2024-50846,24-03-2024,Wrong Item,754.59
CA-2024-88148,03-03-2024,Customer Changed Mind,145.57
CA-2024-90981,02-03-2024,Customer Changed Mind,235.88
CA-2024-96761,14-03-2024,Wrong Item,367.58
CA-2024-45804,07-03-2024,Customer Changed Mind,113.21
CA-2024-66349,04-03-2024,Damaged,550.83
CA-2024-73783,17-03-2024,Customer Changed Mind,60.2
CA-2024-61807,20-03-2024,Damaged,183.43
CA-2024-37686,25-03-2024,Damaged,223.03
CA-2024-53007,04-03-2024,Damaged,603.94
CA-2024-33028,05-03-2024,Wrong Item,570.35
CA-2024-75570,18-03-2024,Customer Changed Mind,649.81
CA-2024-19447,13-03-2024,Customer Changed Mind,57.78
CA-2024-12456,15-03-2024,Quality Issue,693.14
CA-2024-85465,14-03-2024,Late Delivery,574.86
CA-2024-64747,10-03-2024,Damaged,41.16
CA-2024-52568,06-03-2024,Customer Changed Mind,504.05
CA-2024-57428,03-03-2024,Wrong Item,107.04
CA-2024-67104,19-03-2024,Wrong Item,85.95
CA-2024-50668,24-03-2024,Wrong Item,283.13
CA-2024-32037,03-03-2024,Late Delivery,113.37
CA-2024-76840,07-03-2024,Quality Issue,295.77
CA-2024-94599,27-03-2024,Damaged,104.67
CA-2024-43550,07-03-2024,Damaged,143.47
CA-2024-95918,03-03-2024,Damaged,623.96
CA-2024-74764,15-03-2024,Customer Changed Mind,613.9
CA-2024-68838,22-03-2024,Quality Issue,462.48
